
running 1 test
test test_encode_decode_roundtrip ... FAILED

failures:

---- test_encode_decode_roundtrip stdout ----
Compressing Intra Cube at t=0, start_x=0, start_y=0
[ENCODE] [0][4][8] Writing EVENT d=10, t=1779, d_res=0, t_res=1779
[ENCODE] [0][4][9] Writing EVENT d=10, t=1774, d_res=0, t_res=1774
[ENCODE] [0][4][10] Writing EVENT d=10, t=1970, d_res=0, t_res=1970
[ENCODE] [0][4][11] Writing EVENT d=10, t=2169, d_res=0, t_res=2169
[ENCODE] [0][4][12] Writing EVENT d=9, t=1673, d_res=-1, t_res=1673
[ENCODE] [0][4][13] Writing EVENT d=9, t=1717, d_res=0, t_res=1717
[ENCODE] [0][4][14] Writing EVENT d=9, t=1615, d_res=0, t_res=1615
[ENCODE] [0][4][15] Writing EVENT d=9, t=1536, d_res=0, t_res=1536
[ENCODE] [0][5][0] Writing EVENT d=10, t=1918, d_res=1, t_res=1918
[ENCODE] [0][5][1] Writing EVENT d=10, t=2180, d_res=0, t_res=2180
[ENCODE] [0][5][2] Writing EVENT d=10, t=2279, d_res=0, t_res=2279
[ENCODE] [0][5][3] Writing EVENT d=10, t=2171, d_res=0, t_res=2171
[ENCODE] [0][5][4] Writing EVENT d=10, t=2022, d_res=0, t_res=2022
[ENCODE] [0][5][5] Writing EVENT d=7, t=281, d_res=-3, t_res=281
[ENCODE] [0][5][6] Writing EVENT d=10, t=2482, d_res=3, t_res=2482
[ENCODE] [0][5][7] Writing EVENT d=9, t=1303, d_res=-1, t_res=1303
[ENCODE] [0][5][8] Writing EVENT d=10, t=2238, d_res=1, t_res=2238
[ENCODE] [0][5][9] Writing EVENT d=10, t=1807, d_res=0, t_res=1807
[ENCODE] [0][5][10] Writing EVENT d=10, t=1950, d_res=0, t_res=1950
[ENCODE] [0][5][11] Writing EVENT d=10, t=2193, d_res=0, t_res=2193
[ENCODE] [0][5][12] Writing EVENT d=9, t=1604, d_res=-1, t_res=1604
[ENCODE] [0][5][13] Writing EVENT d=9, t=1478, d_res=0, t_res=1478
[ENCODE] [0][5][14] Writing EVENT d=9, t=1310, d_res=0, t_res=1310
[ENCODE] [0][5][15] Writing EVENT d=10, t=2491, d_res=1, t_res=2491
[ENCODE] [0][6][0] Writing EVENT d=10, t=2103, d_res=0, t_res=2103
[ENCODE] [0][6][1] Writing EVENT d=10, t=2465, d_res=0, t_res=2465
[ENCODE] [0][6][2] Writing EVENT d=9, t=1257, d_res=-1, t_res=1257
[ENCODE] [0][6][3] Writing EVENT d=10, t=2470, d_res=1, t_res=2470
[ENCODE] [0][6][4] Writing EVENT d=10, t=2100, d_res=0, t_res=2100
[ENCODE] [0][6][5] Writing EVENT d=10, t=2329, d_res=0, t_res=2329
[ENCODE] [0][6][6] Writing EVENT d=10, t=2489, d_res=0, t_res=2489
[ENCODE] [0][6][7] Writing EVENT d=10, t=2056, d_res=0, t_res=2056
[ENCODE] [0][6][8] Writing EVENT d=10, t=2048, d_res=0, t_res=2048
[ENCODE] [0][6][9] Writing EVENT d=10, t=1799, d_res=0, t_res=1799
[ENCODE] [0][6][10] Writing EVENT d=10, t=1972, d_res=0, t_res=1972
[ENCODE] [0][6][11] Writing EVENT d=10, t=2158, d_res=0, t_res=2158
[ENCODE] [0][6][12] Writing EVENT d=9, t=1668, d_res=-1, t_res=1668
[ENCODE] [0][6][13] Writing EVENT d=9, t=1450, d_res=0, t_res=1450
[ENCODE] [0][6][14] Writing EVENT d=10, t=2373, d_res=1, t_res=2373
[ENCODE] [0][6][15] Writing EVENT d=10, t=1846, d_res=0, t_res=1846
[ENCODE] [0][7][0] Writing EVENT d=10, t=2187, d_res=0, t_res=2187
[ENCODE] [0][7][1] Writing EVENT d=9, t=1308, d_res=-1, t_res=1308
[ENCODE] [0][7][2] Writing EVENT d=9, t=1319, d_res=0, t_res=1319
[ENCODE] [0][7][3] Writing EVENT d=10, t=2537, d_res=1, t_res=2537
[ENCODE] [0][7][4] Writing EVENT d=10, t=2099, d_res=0, t_res=2099
[ENCODE] [0][7][5] Writing EVENT d=10, t=2331, d_res=0, t_res=2331
[ENCODE] [0][7][6] Writing EVENT d=10, t=2421, d_res=0, t_res=2421
[ENCODE] [0][7][7] Writing EVENT d=10, t=1938, d_res=0, t_res=1938
[ENCODE] [0][7][8] Writing EVENT d=10, t=1882, d_res=0, t_res=1882
[ENCODE] [0][7][9] Writing EVENT d=10, t=1933, d_res=0, t_res=1933
[ENCODE] [0][7][10] Writing EVENT d=10, t=2018, d_res=0, t_res=2018
[ENCODE] [0][7][11] Writing EVENT d=7, t=257, d_res=-3, t_res=257
[ENCODE] [0][7][12] Writing EVENT d=10, t=2259, d_res=3, t_res=2259
[ENCODE] [0][7][13] Writing EVENT d=6, t=149, d_res=-4, t_res=149
[ENCODE] [0][7][14] Writing EVENT d=10, t=2333, d_res=4, t_res=2333
[ENCODE] [0][7][15] Writing EVENT d=10, t=1840, d_res=0, t_res=1840
[ENCODE] [0][8][0] Writing EVENT d=10, t=2074, d_res=0, t_res=2074
[ENCODE] [0][8][1] Writing EVENT d=10, t=2268, d_res=0, t_res=2268
[ENCODE] [0][8][2] Writing EVENT d=8, t=642, d_res=-2, t_res=642
[ENCODE] [0][8][3] Writing EVENT d=10, t=2386, d_res=2, t_res=2386
[ENCODE] [0][8][4] Writing EVENT d=10, t=1932, d_res=0, t_res=1932
[ENCODE] [0][8][5] Writing EVENT d=9, t=1352, d_res=-1, t_res=1352
